#Type_1                     Type_2                       Mode	Section             x     y 
galaxy_position_fourier     galaxy_position_fourier      cl	galaxy_cl           ell   bin_{0}_{1}
galaxy_shear_emode_fourier  galaxy_shear_emode_fourier   cl	shear_cl            ell   bin_{0}_{1}
galaxy_position_fourier     galaxy_shear_emode_fourier   cl	galaxy_shear_cl     ell   bin_{0}_{1}
galaxy_shear_emode_fourier  cmb_kappa_emode_fourier      cl	shear_cmbkappa_cl   ell   bin_{0}_{1}
cmb_shear_emode_fourier     galaxy_shear_emode_fourier   cl	shear_cmbkappa_cl   ell   bin_{1}_{0}
galaxy_position_fourier     cmb_kappa_emode_fourier      cl	galaxy_cmbkappa_cl  ell   bin_{0}_{1}
cmb_shear_emode_fourier     galaxy_position_fourier      cl	galaxy_cmbkappa_cl  ell   bin_{1}_{0}
galaxy_shear_plus_real      galaxy_shear_plus_real       xi	shear_xi_plus       theta bin_{0}_{1}
galaxy_shear_minus_real     galaxy_shear_minus_real      xi	shear_xi_minus      theta bin_{0}_{1}
galaxy_position_real        galaxy_position_real         xi	galaxy_xi           theta bin_{0}_{1}
galaxy_position_real	    galaxy_shear_plus_real	 xi	galaxy_shear_xi     theta bin_{0}_{1}
galaxy_position_real	    galaxy_shear_minus_real	 xi	galaxy_shear_x_xi     theta bin_{0}_{1}
galaxy_position_real        cmb_kappa_real               xi	galaxy_cmbkappa_xi  theta bin_{0}_{1}
cmb_kappa_real              cmb_kappa_real	         xi	cmbkappa_xi         theta bin_{0}_{1}
galaxy_shear_plus_real      cmb_kappa_real               xi	shear_cmbkappa_xi   theta bin_{0}_{1}
galaxy_position_fourier     galaxy_position_fourier      bp	bandpower_clustering	index_bin_1_1   bin_{0}_{1}
galaxy_shear_emode_fourier  galaxy_shear_emode_fourier   bp	bandpower_shear_e   index_bin_1_1   bin_{0}_{1}
galaxy_shear_bmode_fourier  galaxy_shear_bmode_fourier   bp	bandpower_shear_b   index_bin_1_1   bin_{0}_{1}
galaxy_position_fourier     galaxy_shear_emode_fourier   bp	bandpower_ggl       index_bin_1_1   bin_{0}_{1}
galaxy_position_fourier     galaxy_shear_bmode_fourier   bp	bandpower_ggl_b     index_bin_1_1   bin_{0}_{1}
galaxy_position_fourier     galaxy_position_fourier      co	psi_stats_gg        index_bin_1_1   bin_{0}_{1}
galaxy_shear_emode_fourier  galaxy_shear_emode_fourier   co	cosebis             n   bin_{0}_{1}
galaxy_shear_bmode_fourier  galaxy_shear_bmode_fourier   co	cosebis_b           n   bin_{0}_{1}
galaxy_position_fourier     galaxy_shear_emode_fourier   co	psi_stats_gm        index_bin_1_1   bin_{0}_{1}
onepoint	            onepoint                     cl	one_point           obs_{0}	bin_{0}
onepoint	            onepoint                     xi	one_point           obs_{0}	bin_{0}
onepoint	            onepoint                     bp	one_point           obs_{0}	bin_{0}
onepoint	            onepoint                     co	one_point           obs_{0}	bin_{0}
